timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/10/01 15:21:07.284, NVIDIA RTX A6000, 37 %, 3 %, 49140 MiB, 46591 MiB, 2082 MiB
2024/10/01 15:21:07.384, NVIDIA RTX A6000, 37 %, 3 %, 49140 MiB, 47837 MiB, 836 MiB
2024/10/01 15:21:07.484, NVIDIA RTX A6000, 59 %, 5 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:07.584, NVIDIA RTX A6000, 59 %, 5 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:07.684, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:07.784, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:07.885, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:07.985, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:08.085, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:08.185, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:08.285, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:08.385, NVIDIA RTX A6000, 8 %, 0 %, 49140 MiB, 46787 MiB, 1886 MiB
2024/10/01 15:21:08.485, NVIDIA RTX A6000, 20 %, 9 %, 49140 MiB, 34725 MiB, 13948 MiB
2024/10/01 15:21:08.586, NVIDIA RTX A6000, 20 %, 9 %, 49140 MiB, 35661 MiB, 13012 MiB
2024/10/01 15:21:08.686, NVIDIA RTX A6000, 96 %, 31 %, 49140 MiB, 44877 MiB, 3796 MiB
2024/10/01 15:21:08.786, NVIDIA RTX A6000, 96 %, 31 %, 49140 MiB, 43561 MiB, 5112 MiB
